Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.78,-41.09,belle (grounded),12/15/2017
A57A,11,5,-63.79,-56.53,belle,12/15/2017
A57B,7,4,-65.41,-59.23,belle,12/15/2017
A61,13,4,-55.68,-20.90,weddw,12/15/2017
A63,11,3,-76.28,-46.56,belle ,12/15/2017
A64,16,11,-69.73,-60.98,belle (fasted),12/15/2017
A68A,82,25,-67.87,-60.57,belle,12/15/2017
A68B,6,3,-66.92,-59.60,belle,12/15/2017
B09B,27,10,-66.44,143.28,wilke,12/15/2017
B09D,22,6,-55.06,-28.39,weddw,12/15/2017
B09F,20,8,-61.70,-53.87,belle,12/15/2017
B09G,12,7,-67.97,41.72,amerw (fasted),12/15/2017
B09I,12,6,-65.61,118.59,wilke,12/15/2017
B15T,25,6,-60.67,-52.40,belle,12/15/2017
B15Z,15,7,-59.16,-48.95,belle,12/15/2017
B15AA,11,6,-74.34,-25.92,weddw,12/15/2017
B15AB,11,4,-65.97,51.32,amerw (fasted),12/15/2017
B16,16,6,-73.20,-48.97,belle,12/15/2017
B22A,44,24,-74.06,-108.90,amune (grounded),12/15/2017
B28,10,7,-74.73,-108.84,amune (fasted),12/15/2017
B29,11,5,-74.55,-108.99,amune (fasted),12/15/2017
B30,26,18,-68.84,-155.65,rosse,12/15/2017
B31,12,4,-64.49,-91.58,amune,12/15/2017
B37,8,3,-74.54,-108.66,amune (fasted),12/15/2017
B38,6,4,-77.01,-155.01,rosse (fasted),12/15/2017
B39,8,4,-65.09,134.48,wilke (fasted),12/15/2017
B40,8,5,-65.60,132.39,wilke,12/15/2017
B41,8,4,-72.92,-120.31,amunw,12/15/2017
B42,17,5,-73.42,-108.15,amune,12/15/2017
B43,10,5,-73.72,-108.18,amune,12/15/2017
C15,14,10,-66.22,143.37,wilke,12/15/2017
C18B,20,4,-65.44,113.98,wilkw (grounded),12/15/2017
C21B,12,8,-64.99,95.89,wilkw (fasted),12/15/2017
C24,11,3,-64.84,96.02,wilkw (fasted),12/15/2017
C28B,21,14,-61.61,-52.29,belle,12/15/2017
C29,7,5,-66.14,142.93,wilke (fasted),12/15/2017
C30,9,3,-64.79,96.29,wilkw (fasted),12/15/2017
C31,9,3,-64.69,96.52,wilkw (fasted),12/15/2017
C32,7,5,-69.28,159.88,rossw (fasted),12/15/2017
C33,11,4,-69.62,162.09,rossw ,12/15/2017
C34,11,5,-65.86,143.12,wilke,12/15/2017
D15A,51,24,-66.67,81.95,amere (fasted),12/15/2017
D15B,33,12,-67.08,81.76,amere (fasted),12/15/2017
D20A,27,9,-68.94,36.37,amerw (fasted),12/15/2017
D21A,14,4,-58.48,-27.41,weddw,12/15/2017
D21B,11,4,-65.68,49.71,amerw,12/15/2017
D22,12,3,-65.92,86.96,amere (fasted),12/15/2017
D23,8,6,-69.43,74.65,amere (fasted),12/15/2017
D26,18,1,-69.41,29.33,wedde (grounded),12/15/2017
