Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.85,-41.13,belle (grounded),9/23/2016
A56,12,7,-48.52,-14.5,weddw,9/23/2016
A57A,11,5,-67.7,-58.22,belle,9/23/2016
A57B,7,4,-68.58,-59.6,belle,9/23/2016
A61,13,4,-65.1,-36.48,belle,9/23/2016
A63,11,3,-76.42,-45.73,belle (fasted),9/23/2016
A64,16,11,-69.72,-61.02,belle (fasted),9/23/2016
A66,7,4,-54.03,-34.25,belle,9/23/2016
B09B,27,10,-66.62,142.62,wilke,9/23/2016
B09D,22,6,-66.67,-43.28,belle,9/23/2016
B09F,20,8,-69.02,-45.1,belle,9/23/2016
B09G,12,7,-68.02,41.72,amerw (fasted),9/23/2016
B09H,11,2,-68.92,-36.93,belle,9/23/2016
B09I,12,6,-65.15,135.87,wilke,9/23/2016
B15K,16,3,-50.73,-43.52,belle,9/23/2016
B15T,25,6,-69.9,-45.85,belle,9/23/2016
B15Z,15,7,-70.13,-45.52,belle,9/23/2016
B15AA,11,6,-69.17,29.1,amerw,9/23/2016
B15AB,11,4,-65.97,51.32,amerw (fasted),9/23/2016
B16,16,6,-76.12,-36.97,belle,9/23/2016
B22A,44,24,-74.07,-108.92,amune (grounded),9/23/2016
B28,10,7,-74.75,-108.87,amune (fasted),9/23/2016
B29,11,5,-74.57,-108.97,amune (fasted),9/23/2016
B30,26,18,-75.08,-153.58,amunw,9/23/2016
B31,18,11,-71.25,-112.08,amune,9/23/2016
B34,10,3,-67.57,-179.92,rossc,9/23/2016
B35,7,3,-73.28,-108.28,amune,9/23/2016
B37,8,3,-74.55,-108.65,amune (fasted),9/23/2016
B38,6,4,-76.98,-155.08,rosse (fasted),9/23/2016
B39,8,4,-65.08,134.55,wilke,9/23/2016
B40,8,5,-65.63,132.52,wilke,9/23/2016
B41,8,4,-74.72,-103.97,amune,9/23/2016
C15,14,10,-66.35,143.2,wilke,9/23/2016
C18B,20,4,-65.43,114,wilkw (grounded),9/23/2016
C21B,12,8,-65,95.9,wilkw (fasted),9/23/2016
C24,11,3,-64.83,96.02,wilkw (fasted),9/23/2016
C28B,21,14,-69.08,-44.35,belle,9/23/2016
C29,7,5,-66.15,142.97,wilke,9/23/2016
C30,9,3,-64.78,96.3,wilkw (fasted),9/23/2016
C31,9,3,-64.7,96.52,wilkw (fasted),9/23/2016
C32,7,5,-70.05,162.52,rossw (grounded),9/23/2016
C33,11,4,-73.95,169.07,rossc,9/23/2016
D15A,51,24,-66.67,81.95,amere (fasted),9/23/2016
D15B,33,12,-66.98,81.62,amere (fasted),9/23/2016
D20A,27,9,-69,36.33,amerw (fasted),9/23/2016
D20B,11,2,-68.58,35.83,amerw (fasted),9/23/2016
D21A,14,4,-68.97,-36.83,belle,9/23/2016
D21B,11,4,-66.08,81.58,amere,9/23/2016
D22,12,3,-65.93,86.93,amere (grounded),9/23/2016
D23,8,6,-69.43,74.63,amere (fasted),9/23/2016
D26,18,1,-69.35,29.45,wedde,9/23/2016
