Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-58.8,-44.24,1424.85,1075.93,3690.35,11/15/2024
A74A,30,18,-65.1,-57.65,417.73,315.44,1081.92,11/15/2024
A76B,15,7,-56.28,-45.38,83.85,63.32,217.17,11/15/2024
A76C,16,7,-63.86,-56.3,134.60,101.64,348.61,11/15/2024
A76N,9,4,-61.79,-53.89,34.06,25.72,88.23,11/15/2024
A77,27,4,-65.89,-59.01,128.09,96.73,331.76,11/15/2024
A80A,9,7,-63.71,-56.41,56.74,42.84,146.95,11/15/2024
A81,28,25,-69.34,-56.94,520.69,393.18,1348.57,11/15/2024
A82,12,8,-68.96,-90.13,47.78,36.08,123.74,11/15/2024
A83,12,7,-76.12,-27.94,80.36,60.68,208.13,11/15/2024
B09B,27,10,-66.13,143.2,195.19,147.39,505.54,11/15/2024
B09G,12,7,-68.2,41.7,62.53,47.22,161.94,11/15/2024
B15AB,10,4,-69.67,-53.69,35.70,26.95,92.45,11/15/2024
B22A,33,26,-73.97,-138.62,655.86,495.25,1698.67,11/15/2024
B22F,22,15,-73.99,-136.13,264.29,199.57,684.52,11/15/2024
B22G,9,5,-73.89,-133.52,34.91,26.36,90.41,11/15/2024
B29,11,5,-73.77,-110.4,25.28,19.09,65.46,11/15/2024
B38,6,4,-73.34,-170.35,23.15,17.48,59.96,11/15/2024
B45,7,4,-73.12,-119.68,29.55,22.31,76.53,11/15/2024
B47,19,5,-74.38,-137.65,38.87,29.35,100.68,11/15/2024
C15,14,10,-65.89,143.06,85.20,64.33,220.66,11/15/2024
C18B,20,4,-67.15,78.16,79.51,60.04,205.94,11/15/2024
C21B,12,8,-64.98,95.84,99.64,75.24,258.06,11/15/2024
C24,11,3,-64.84,96.03,24.06,18.17,62.33,11/15/2024
C29,7,5,-65.76,141.62,25.89,19.55,67.05,11/15/2024
C30,9,3,-64.78,96.28,29.75,22.47,77.05,11/15/2024
C31,9,3,-64.68,96.49,27.83,21.01,72.08,11/15/2024
C33,11,4,-66.18,107.73,26.72,20.18,69.20,11/15/2024
C35,8,5,-66.35,143.04,22.27,16.81,57.67,11/15/2024
C36,23,16,-67.9,147.45,312.94,236.30,810.50,11/15/2024
C38B,8,7,-66.1,92.2,18.71,14.13,48.46,11/15/2024
C39,15,8,-64.54,97.75,79.71,60.19,206.45,11/15/2024
D15A,51,22,-66.63,81.92,1178.62,890.00,3052.60,11/15/2024
D15B,32,12,-66.98,81.46,327.08,246.98,847.13,11/15/2024
D20A,14,5,-54.69,-32.85,36.65,27.67,94.91,11/15/2024
D23,7,6,-69.43,74.72,47.61,35.95,123.32,11/15/2024
D32,9,6,-69.84,7.33,46.68,35.25,120.91,11/15/2024
D33A,34,10,-71.09,-53.56,245.81,185.61,636.63,11/15/2024
D33B,21,12,-76.66,-36.17,120.53,91.01,312.16,11/15/2024
D33C,15,7,-71.66,-52.08,87.80,66.30,227.39,11/15/2024
D34,11,8,-67.18,82.02,67.08,50.66,173.75,11/15/2024
D35,28,6,-73.71,-25.17,149.18,112.65,386.36,11/15/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,11/15/2024
