Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.79,-41.06,belle (grounded),6/22/2018
A57A,11,5,-62.51,-55.97,belle,6/22/2018
A57B,8,4,-63.98,-55.77,belle,6/22/2018
A63,11,3,-76.29,-46.63,belle ,6/22/2018
A64,16,11,-69.73,-60.98,belle (fasted),6/22/2018
A68A,82,26,-67.69,-59.88,belle,6/22/2018
A68B,7,3,-66.57,-59.47,belle,6/22/2018
B09B,27,9,-66.33,143.20,wilke,6/22/2018
B09F,20,8,-62.00,-53.99,belle,6/22/2018
B09G,12,7,-68.01,41.77,amerw,6/22/2018
B09I,12,6,-65.28,106.10,wilkw (grounded),6/22/2018
B15T,25,6,-59.64,-36.88,belle,6/22/2018
B15AA,11,6,-70.94,-37.48,belle,6/22/2018
B15AB,11,4,-65.98,51.31,amerw (fasted),6/22/2018
B16,16,6,-68.76,-53.44,belle,6/22/2018
B22A,44,24,-74.04,-109.04,amune,6/22/2018
B28,10,7,-74.73,-108.86,amune (fasted),6/22/2018
B29,11,5,-74.56,-108.93,amune,6/22/2018
B30,19,13,-66.00,-150.20,rosse,6/22/2018
B31,7,4,-62.01,-65.64,bellw,6/22/2018
B37,8,3,-74.54,-108.65,amune,6/22/2018
B38,6,4,-77.01,-155.02,rosse,6/22/2018
B39,8,4,-65.69,123.19,wilke,6/22/2018
B40,8,5,-65.65,132.34,wilke (grounded),6/22/2018
B41,8,4,-73.81,-134.84,amunw,6/22/2018
B42,17,5,-72.40,-112.46,amune,6/22/2018
B43,10,5,-72.24,-113.53,amune,6/22/2018
C15,14,10,-66.19,143.10,wilke,6/22/2018
C18B,20,4,-65.44,113.98,wilkw (grounded),6/22/2018
C21B,12,8,-64.98,95.90,wilkw (fasted),6/22/2018
C24,11,3,-64.84,96.01,wilkw (fasted),6/22/2018
C28B,10,9,-57.85,-44.65,belle,6/22/2018
C29,5,5,-66.10,142.86,wilke,6/22/2018
C30,9,3,-64.78,96.30,wilkw (fasted),6/22/2018
C31,9,3,-64.69,96.52,wilkw (fasted),6/22/2018
C32,7,5,-66.73,151.06,rossw,6/22/2018
C33,8,4,-68.63,155.36,rossw ,6/22/2018
C34,11,5,-65.87,142.86,wilke,6/22/2018
D15A,51,24,-66.66,81.96,amere (fasted),6/22/2018
D15B,33,12,-66.99,81.58,amere (fasted),6/22/2018
D20A,20,9,-68.91,36.31,amerw (fasted),6/22/2018
D21B,11,4,-69.41,12.99,wedde,6/22/2018
D22,12,3,-65.92,86.96,amere (fasted),6/22/2018
D23,8,6,-69.43,74.65,amere (fasted),6/22/2018
D26,19,2,-69.37,29.42,wedde (grounded),6/22/2018
D27,8,5,-67.27,81.87,amere (grounded),6/22/2018
