Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-58.33,-45.52,1424.85,1075.93,3690.35,09/26/2024
A74A,30,18,-66.49,-58.25,417.73,315.44,1081.92,09/26/2024
A76B,15,7,-60.77,-55.1,83.85,63.32,217.17,09/26/2024
A76C,16,7,-63.79,-56.34,134.60,101.64,348.61,09/26/2024
A76N,9,4,-61.68,-53.69,34.06,25.72,88.23,09/26/2024
A77,27,4,-66.76,-59.01,128.09,96.73,331.76,09/26/2024
A80A,10,9,-63.67,-56.37,70.48,53.22,182.54,09/26/2024
A80D,6,5,-61.14,-50.15,21.49,16.23,55.66,09/26/2024
A81,28,25,-71.18,-54.15,520.69,393.18,1348.57,09/26/2024
A82,12,8,-69.59,-89.62,47.78,36.08,123.74,09/26/2024
A83,12,7,-75.63,-27.02,80.36,60.68,208.13,09/26/2024
B09B,27,10,-66.13,143.18,195.19,147.39,505.54,09/26/2024
B09G,12,7,-68.2,41.7,62.53,47.22,161.94,09/26/2024
B15AB,10,4,-71.68,-46.66,35.70,26.95,92.45,09/26/2024
B22A,33,26,-73.24,-129.7,655.86,495.25,1698.67,09/26/2024
B22F,22,15,-73.96,-128.47,264.29,199.57,684.52,09/26/2024
B22G,9,5,-74.29,-129.18,34.91,26.36,90.41,09/26/2024
B29,11,5,-73.77,-110.4,25.28,19.09,65.46,09/26/2024
B38,6,4,-75.01,-165.3,23.15,17.48,59.96,09/26/2024
B39,8,4,-58.28,-49.28,35.87,27.09,92.91,09/26/2024
B45,7,4,-73.26,-119.13,29.55,22.31,76.53,09/26/2024
B47,19,5,-74.46,-137.36,38.87,29.35,100.68,09/26/2024
C15,14,10,-65.87,143.1,85.20,64.33,220.66,09/26/2024
C18B,20,4,-67.22,78.29,79.51,60.04,205.94,09/26/2024
C21B,12,8,-64.98,95.85,99.64,75.24,258.06,09/26/2024
C24,11,3,-64.85,96.01,24.06,18.17,62.33,09/26/2024
C29,7,5,-65.84,142.63,25.89,19.55,67.05,09/26/2024
C30,9,3,-64.78,96.29,29.75,22.47,77.05,09/26/2024
C31,9,3,-64.68,96.5,27.83,21.01,72.08,09/26/2024
C33,11,4,-66.18,107.73,23.93,18.07,61.97,09/26/2024
C35,8,5,-66.35,143.05,22.27,16.81,57.67,09/26/2024
C36,23,16,-67.91,147.46,312.94,236.30,810.50,09/26/2024
C38B,8,7,-66.12,92.21,18.49,13.96,47.88,09/26/2024
C39,15,8,-64.47,97.76,79.71,60.19,206.45,09/26/2024
D15A,51,22,-66.63,81.92,1178.62,890.00,3052.60,09/26/2024
D15B,32,12,-66.97,81.45,327.08,246.98,847.13,09/26/2024
D20A,14,5,-55.85,-38.34,44.57,33.65,115.42,09/26/2024
D23,7,6,-69.43,74.7,47.61,35.95,123.32,09/26/2024
D32,9,6,-70.05,23.44,46.68,35.25,120.91,09/26/2024
D33A,34,10,-72.69,-46.09,245.81,185.61,636.63,09/26/2024
D33B,21,12,-75.96,-31.88,120.53,91.01,312.16,09/26/2024
D33C,15,7,-73.23,-45.82,87.80,66.30,227.39,09/26/2024
D34,11,8,-67.17,82.03,67.08,50.66,173.75,09/26/2024
D35,28,6,-72.06,-16.34,149.18,112.65,386.36,09/26/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,09/26/2024
