Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-58.86,-45.56,1482.73,1119.64,3840.24,05/24/2024
A74A,30,18,-69.2,-57.3,395.42,298.59,1024.14,05/24/2024
A74B,8,4,-61.72,-53.45,34.19,25.81,88.54,05/24/2024
A76B,17,7,-63.02,-53.92,93.70,70.75,242.68,05/24/2024
A76C,16,7,-63.87,-56.37,134.98,101.93,349.60,05/24/2024
A76N,12,4,-63.76,-54.04,48.48,36.61,125.56,05/24/2024
A77,27,4,-69.09,-58.16,128.09,96.73,331.76,05/24/2024
A78,18,4,-57.0,-25.82,29.35,22.16,76.02,05/24/2024
A80A,11,9,-63.72,-56.5,95.21,71.90,246.60,05/24/2024
A80D,6,5,-65.47,-56.72,25.86,19.52,66.96,05/24/2024
A81,28,25,-75.21,-50.67,520.69,393.18,1348.57,05/24/2024
A82,12,6,-70.81,-93.12,49.36,37.28,127.85,05/24/2024
A83,20,7,-75.37,-25.55,128.10,96.73,331.79,05/24/2024
B09B,27,10,-66.14,143.36,195.19,147.39,505.54,05/24/2024
B09G,12,7,-68.18,41.69,62.53,47.22,161.94,05/24/2024
B15AB,10,4,-73.94,-34.62,34.61,26.14,89.65,05/24/2024
B22A,44,24,-72.68,-120.04,1017.13,768.06,2634.34,05/24/2024
B29,11,5,-73.63,-110.55,26.43,19.96,68.46,05/24/2024
B38,6,4,-76.81,-155.28,23.64,17.85,61.24,05/24/2024
B39,8,4,-65.89,-56.0,30.02,22.67,77.76,05/24/2024
B45,8,6,-72.49,-119.44,32.01,24.17,82.91,05/24/2024
B47,19,5,-74.46,-137.35,38.87,29.35,100.68,05/24/2024
C15,14,10,-65.9,143.14,85.20,64.33,220.66,05/24/2024
C18B,20,4,-67.07,78.33,79.51,60.04,205.94,05/24/2024
C21B,12,8,-64.98,95.85,99.64,75.24,258.06,05/24/2024
C24,11,3,-64.84,96.02,24.06,18.17,62.33,05/24/2024
C29,7,5,-65.87,142.66,25.89,19.55,67.05,05/24/2024
C30,9,3,-64.78,96.28,29.75,22.47,77.05,05/24/2024
C31,9,3,-64.68,96.5,27.83,21.01,72.08,05/24/2024
C33,11,4,-65.35,116.51,28.96,21.87,75.02,05/24/2024
C35,8,5,-66.28,143.27,22.27,16.81,57.67,05/24/2024
C36,23,16,-67.91,147.46,312.94,236.30,810.50,05/24/2024
C38B,8,7,-66.1,92.18,17.33,13.09,44.90,05/24/2024
C39,15,8,-64.44,97.78,82.18,62.06,212.84,05/24/2024
D15A,51,22,-66.63,81.92,1180.50,891.42,3057.47,05/24/2024
D15B,32,12,-66.99,81.46,336.66,254.22,871.96,05/24/2024
D20A,14,5,-61.03,-42.96,47.63,35.97,123.36,05/24/2024
D23,7,6,-69.44,74.69,47.61,35.95,123.32,05/24/2024
D27,8,5,-65.19,-53.8,30.61,23.11,79.27,05/24/2024
D29A,21,9,-54.45,3.25,107.69,81.32,278.91,05/24/2024
D30A,23,9,-53.65,-29.42,74.58,56.32,193.17,05/24/2024
D30C,13,6,-51.85,-17.62,36.27,27.39,93.93,05/24/2024
D32,10,9,-67.38,42.81,72.58,54.80,187.97,05/24/2024
D33A,34,10,-74.31,-33.05,245.81,185.61,636.63,05/24/2024
D33B,21,12,-74.51,-30.95,124.14,93.74,321.51,05/24/2024
D33C,15,7,-73.72,-30.15,87.80,66.30,227.39,05/24/2024
D34,11,8,-67.18,82.04,68.77,51.93,178.12,05/24/2024
D35,28,6,-72.1,-16.56,149.18,112.65,386.36,05/24/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,05/24/2024
