Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.79,-41.06,belle (grounded),7/13/2018
A57A,11,5,-62.50,-56.00,belle,7/13/2018
A57B,8,4,-63.71,-55.46,belle,7/13/2018
A63,11,3,-76.29,-46.65,belle ,7/13/2018
A64,16,11,-69.73,-60.98,belle (fasted),7/13/2018
A68A,82,26,-67.61,-59.76,belle,7/13/2018
A68B,7,3,-66.36,-59.58,belle,7/13/2018
B09B,27,9,-66.33,143.20,wilke,7/13/2018
B09F,20,8,-61.91,-54.20,belle,7/13/2018
B09G,12,7,-68.01,41.77,amerw,7/13/2018
B09I,12,6,-65.28,106.10,wilkw (grounded),7/13/2018
B15T,25,6,-59.18,-35.92,belle,7/13/2018
B15AA,11,6,-70.14,-37.85,belle,7/13/2018
B15AB,11,4,-65.98,51.31,amerw (fasted),7/13/2018
B16,16,6,-67.51,-53.66,belle,7/13/2018
B22A,44,24,-74.05,-109.07,amune,7/13/2018
B28,10,7,-74.73,-108.86,amune (fasted),7/13/2018
B29,11,5,-74.56,-108.93,amune,7/13/2018
B30,19,13,-65.53,-150.63,rosse,7/13/2018
B37,8,3,-74.54,-108.65,amune,7/13/2018
B38,6,4,-77.01,-155.02,rosse,7/13/2018
B39,8,4,-65.69,123.19,wilke,7/13/2018
B40,8,5,-65.65,132.34,wilke (grounded),7/13/2018
B41,8,4,-73.83,-134.60,amunw,7/13/2018
B42,17,5,-72.42,-112.60,amune,7/13/2018
B43,10,5,-72.62,-116.03,amune,7/13/2018
C15,14,10,-66.19,143.10,wilke,7/13/2018
C18B,20,4,-65.44,113.98,wilkw (grounded),7/13/2018
C21B,12,8,-64.98,95.90,wilkw (fasted),7/13/2018
C24,11,3,-64.84,96.01,wilkw (fasted),7/13/2018
C28B,10,9,-58.18,-43.89,belle,7/13/2018
C29,5,5,-66.10,142.86,wilke,7/13/2018
C30,9,3,-64.78,96.30,wilkw (fasted),7/13/2018
C31,9,3,-64.69,96.52,wilkw (fasted),7/13/2018
C32,7,5,-65.90,149.65,wilke,7/13/2018
C33,8,4,-68.63,155.36,rossw ,7/13/2018
C34,11,5,-65.87,142.88,wilke,7/13/2018
D15A,51,24,-66.66,81.96,amere (fasted),7/13/2018
D15B,33,12,-66.99,81.58,amere (fasted),7/13/2018
D20A,20,9,-68.91,36.31,amerw (fasted),7/13/2018
D21B,11,4,-69.74,7.10,wedde,7/13/2018
D22,12,3,-65.92,86.96,amere (fasted),7/13/2018
D23,8,6,-69.43,74.65,amere (fasted),7/13/2018
D26,19,2,-69.37,29.42,wedde (grounded),7/13/2018
D27,8,5,-67.27,81.87,amere (grounded),7/13/2018
